N	Días	Fecha	Día kg	CCS '000	Conc.
1	4	13/12/2019	5.9		5
2	37	15/01/2020	29.3		9
3	53	31/01/2020	29.8		9
4	66	13/02/2020	29.6		10
5	81	28/02/2020	30.2		10
6	95	13/03/2020	28.8		9
7	110	28/03/2020	27.0		9
8	133	20/04/2020	26.9		9
9	143	30/04/2020	26.7		9
10	162	19/05/2020	25.3		9
11	173	30/05/2020	28.3		9
12	187	13/06/2020	29.8		10
					
