N	Días	Fecha	Día kg	CCS '000	Conc.
1	20	1/05/2019	20.3		5
2	34	15/05/2019	28.8		5
3	50	31/05/2019	26.4		7
4	65	15/06/2019	27.7		9
5	80	30/06/2019	30.2		9
6	95	15/07/2019	26.5		9
7	105	25/07/2019	29.1		9
8	126	15/08/2019	26.2		9
9	139	28/08/2019	22.7		7
10	154	12/09/2019	21.0		7
11	169	27/09/2019	20.0		7
12	187	15/10/2019	16.6		5
13	202	30/10/2019	17.7		5
14	216	13/11/2019	15.2		3
15	232	29/11/2019	12.7		1
16	246	13/12/2019	12.8		3
17	279	15/01/2020	9.1		0
18	295	31/01/2020	8.0		0
19	308	13/02/2020	4.9		0
20	323	28/02/2020	3.2		0
21	337	13/03/2020	3.3		0
22	352	28/03/2020	1.9		0
					
