N	Días	Fecha	Día kg	CCS '000	Conc.
1	7	31/12/2018	11.3		5
2	22	15/01/2019	33.7		5
3	37	30/01/2019	30.0		9
4	50	12/02/2019	35.0		10
5	65	27/02/2019	35.3		10
6	78	12/03/2019	32.0		10
7	94	28/03/2019	35.2		10
8	114	17/04/2019	29.2		10
9	128	1/05/2019	33.6		10
10	142	15/05/2019	30.8		10
11	158	31/05/2019	28.1		9
12	173	15/06/2019	30.1		9
13	188	30/06/2019	25.8		7
14	203	15/07/2019	25.2		9
15	213	25/07/2019	25.1		9
16	234	15/08/2019	25.7		9
17	247	28/08/2019	28.3		9
18	262	12/09/2019	21.1		7
19	277	27/09/2019	24.5		7
20	295	15/10/2019	25.4		9
21	310	30/10/2019	28.7		9
22	324	13/11/2019	29.2		9
23	340	29/11/2019	25.5		7
24	354	13/12/2019	24.6		7
25	387	15/01/2020	23.4		7
26	403	31/01/2020	18.7		7
27	416	13/02/2020	26.2		9
28	431	28/02/2020	21.1		7
29	445	13/03/2020	20.7		5
30	460	28/03/2020	21.2		7
31	483	20/04/2020	19.5		0
32	493	30/04/2020	19.4		0
33	512	19/05/2020	16.9		5
34	523	30/05/2020	16.6		0
					
