N	Días	Fecha	Día kg	CCS '000	Conc.
1	18	15/01/2020	28.4		9
2	34	31/01/2020	30.9		9
3	47	13/02/2020	24.4		9
4	62	28/02/2020	24.9		9
5	76	13/03/2020	26.8		9
6	91	28/03/2020	19.9		9
7	114	20/04/2020	12.5		5
8	124	30/04/2020	17.1		5
9	143	19/05/2020	14.3		3
10	154	30/05/2020	13.0		3
11	168	13/06/2020	11.0		1
					
