N	Días	Fecha	Día kg	CCS '000	Conc.
1	12	31/05/2019	16.9		5
2	27	15/06/2019	20.7		5
3	42	30/06/2019	15.9		5
4	57	15/07/2019	13.8		5
5	67	25/07/2019	11.9		5
6	88	15/08/2019	14.9		3
7	101	28/08/2019	13.8		3
8	116	12/09/2019	6.8		3
9	131	27/09/2019	8.2		5
10	149	15/10/2019	11.1		0
11	164	30/10/2019	11.6		0
12	178	13/11/2019	12.8		1
13	194	29/11/2019	15.9		3
14	208	13/12/2019	13.3		3
15	241	15/01/2020	16.7		5
16	257	31/01/2020	13.9		5
17	270	13/02/2020	12.9		1
18	285	28/02/2020	10.6		0
19	299	13/03/2020	8.9		0
20	314	28/03/2020	9.4		0
					
