Parto	Fecha	IEP	No. nacidos	Días lact.	Leche lact.	Leche 305d.	Leche kg/d	Leche vs. hato	Fat (kg)	Protein (kg)
Total					56'970					
Promedio		444	6			7'892		143%		
1	18/06/2013	343	1	287	6'836	6'836	19.9	144%		
2	27/05/2014	393	1	340	8'502	8'005	21.6	132%		
3	24/06/2015	352	1	297	8'648	8'648	24.6	144%		
4	10/06/2016	334	1	280	7'710	7'710	23.1	136%		
5	10/05/2017	564	1	494	12'204	8'145	21.6	149%		
6	25/11/2018	677	1		13'070	8'008	19.3	151%		
