Fecha	Hato	Lote	Grupo	Valor
				
25/11/2018	RC		R 3	$0
15/09/2018	RC		HOR.1	$0
10/05/2017	RC		R 3	$0
16/03/2017	RC		HOR.1	$0
10/06/2016	RC		R 1	$0
15/04/2016	RC		HOR.1	$0
24/06/2015	RC		R 1	$0
1/05/2015	RC		HOR.1	$0
27/05/2014	RC		R 2	$0
31/03/2014	RC		HOR.1	$0
1/09/2013	RC		R 2	$0
18/06/2013	ISLA		PARAI	$0
2/05/2013	ISLA		PROXP	$0
27/09/2010	RC		LVT6	$0
22/06/2010	RC		CF	$0
17/06/2010	RC		TL1	$0
17/06/2010	ISLA		HO.PR	$0
