,date,HATO,variable,value,HATO_C
8138,2019-04-14,JUNCAL,lag_3,La_Isla-Lote_ML_1,JUNCAL_3
354,2019-04-15,JUNCAL,name,Juncalito-Lote_9,JUNCAL
2949,2019-04-15,JUNCAL,lag_1,Juncalito-Lote_6,JUNCAL_1
5544,2019-04-15,JUNCAL,lag_2,Juncalito-Lote_5,JUNCAL_2
8139,2019-04-15,JUNCAL,lag_3,Juncalito-Lote_4,JUNCAL_3
355,2019-04-16,JUNCAL,name,Juncalito-Lote_9,JUNCAL
2950,2019-04-16,JUNCAL,lag_1,Juncalito-Lote_6,JUNCAL_1
5545,2019-04-16,JUNCAL,lag_2,Juncalito-Lote_5,JUNCAL_2
8140,2019-04-16,JUNCAL,lag_3,Juncalito-Lote_4,JUNCAL_3
356,2019-04-17,JUNCAL,name,Juncalito-Lote_10,JUNCAL
2951,2019-04-17,JUNCAL,lag_1,Juncalito-Lote_9,JUNCAL_1
5546,2019-04-17,JUNCAL,lag_2,Juncalito-Lote_6,JUNCAL_2
8141,2019-04-17,JUNCAL,lag_3,Juncalito-Lote_5,JUNCAL_3
357,2019-04-18,JUNCAL,name,Juncalito-Lote_10,JUNCAL
2952,2019-04-18,JUNCAL,lag_1,Juncalito-Lote_9,JUNCAL_1
5547,2019-04-18,JUNCAL,lag_2,Juncalito-Lote_6,JUNCAL_2
8142,2019-04-18,JUNCAL,lag_3,Juncalito-Lote_5,JUNCAL_3
358,2019-04-19,JUNCAL,name,Juncalito-Lote_12,JUNCAL
2953,2019-04-19,JUNCAL,lag_1,Juncalito-Lote_10,JUNCAL_1
5548,2019-04-19,JUNCAL,lag_2,Juncalito-Lote_9,JUNCAL_2
8143,2019-04-19,JUNCAL,lag_3,Juncalito-Lote_6,JUNCAL_3
359,2019-04-20,JUNCAL,name,Juncalito-Lote_12,JUNCAL
2954,2019-04-20,JUNCAL,lag_1,Juncalito-Lote_10,JUNCAL_1
5549,2019-04-20,JUNCAL,lag_2,Juncalito-Lote_9,JUNCAL_2
8144,2019-04-20,JUNCAL,lag_3,Juncalito-Lote_6,JUNCAL_3
360,2019-04-21,JUNCAL,name,Juncalito-Lote_12,JUNCAL
2955,2019-04-21,JUNCAL,lag_1,Juncalito-Lote_10,JUNCAL_1
5550,2019-04-21,JUNCAL,lag_2,Juncalito-Lote_9,JUNCAL_2
8145,2019-04-21,JUNCAL,lag_3,Juncalito-Lote_6,JUNCAL_3
361,2019-04-22,JUNCAL,name,Juncalito-Lote_8,JUNCAL
2956,2019-04-22,JUNCAL,lag_1,Juncalito-Lote_12,JUNCAL_1
5551,2019-04-22,JUNCAL,lag_2,Juncalito-Lote_10,JUNCAL_2
8146,2019-04-22,JUNCAL,lag_3,Juncalito-Lote_9,JUNCAL_3
362,2019-04-23,JUNCAL,name,Juncalito-Lote_8,JUNCAL
2957,2019-04-23,JUNCAL,lag_1,Juncalito-Lote_12,JUNCAL_1
5552,2019-04-23,JUNCAL,lag_2,Juncalito-Lote_10,JUNCAL_2
8147,2019-04-23,JUNCAL,lag_3,Juncalito-Lote_9,JUNCAL_3
363,2019-04-24,JUNCAL,name,Juncalito-Lote_14,JUNCAL
2958,2019-04-24,JUNCAL,lag_1,Juncalito-Lote_8,JUNCAL_1
5553,2019-04-24,JUNCAL,lag_2,Juncalito-Lote_12,JUNCAL_2
8148,2019-04-24,JUNCAL,lag_3,Juncalito-Lote_10,JUNCAL_3
364,2019-04-25,JUNCAL,name,Juncalito-Lote_15,JUNCAL
2959,2019-04-25,JUNCAL,lag_1,Juncalito-Lote_14,JUNCAL_1
5554,2019-04-25,JUNCAL,lag_2,Juncalito-Lote_8,JUNCAL_2
8149,2019-04-25,JUNCAL,lag_3,Juncalito-Lote_12,JUNCAL_3
365,2019-04-26,JUNCAL,name,Juncalito-Lote_15,JUNCAL
2960,2019-04-26,JUNCAL,lag_1,Juncalito-Lote_14,JUNCAL_1
5555,2019-04-26,JUNCAL,lag_2,Juncalito-Lote_8,JUNCAL_2
8150,2019-04-26,JUNCAL,lag_3,Juncalito-Lote_12,JUNCAL_3
366,2019-04-27,JUNCAL,name,La_Isla-Lote_28,JUNCAL
2961,2019-04-27,JUNCAL,lag_1,Juncalito-Lote_15,JUNCAL_1
5556,2019-04-27,JUNCAL,lag_2,Juncalito-Lote_14,JUNCAL_2
8151,2019-04-27,JUNCAL,lag_3,Juncalito-Lote_8,JUNCAL_3
367,2019-04-28,JUNCAL,name,La_Isla-Lote_28,JUNCAL
2962,2019-04-28,JUNCAL,lag_1,Juncalito-Lote_15,JUNCAL_1
5557,2019-04-28,JUNCAL,lag_2,Juncalito-Lote_14,JUNCAL_2
8152,2019-04-28,JUNCAL,lag_3,Juncalito-Lote_8,JUNCAL_3
368,2019-04-29,JUNCAL,name,Juncalito-Lote_3,JUNCAL
2963,2019-04-29,JUNCAL,lag_1,La_Isla-Lote_28,JUNCAL_1
5558,2019-04-29,JUNCAL,lag_2,Juncalito-Lote_15,JUNCAL_2
8153,2019-04-29,JUNCAL,lag_3,Juncalito-Lote_14,JUNCAL_3
369,2019-04-30,JUNCAL,name,Juncalito-Lote_3,JUNCAL
2964,2019-04-30,JUNCAL,lag_1,La_Isla-Lote_28,JUNCAL_1
5559,2019-04-30,JUNCAL,lag_2,Juncalito-Lote_15,JUNCAL_2
8154,2019-04-30,JUNCAL,lag_3,Juncalito-Lote_14,JUNCAL_3
370,2019-05-01,JUNCAL,name,Juncalito-Lote_3,JUNCAL
2965,2019-05-01,JUNCAL,lag_1,La_Isla-Lote_28,JUNCAL_1
5560,2019-05-01,JUNCAL,lag_2,Juncalito-Lote_15,JUNCAL_2
8155,2019-05-01,JUNCAL,lag_3,Juncalito-Lote_14,JUNCAL_3
371,2019-05-02,JUNCAL,name,Juncalito-Lote_2,JUNCAL
2966,2019-05-02,JUNCAL,lag_1,Juncalito-Lote_3,JUNCAL_1
5561,2019-05-02,JUNCAL,lag_2,La_Isla-Lote_28,JUNCAL_2
8156,2019-05-02,JUNCAL,lag_3,Juncalito-Lote_15,JUNCAL_3
372,2019-05-03,JUNCAL,name,Juncalito-Lote_2,JUNCAL
2967,2019-05-03,JUNCAL,lag_1,Juncalito-Lote_3,JUNCAL_1
5562,2019-05-03,JUNCAL,lag_2,La_Isla-Lote_28,JUNCAL_2
8157,2019-05-03,JUNCAL,lag_3,Juncalito-Lote_15,JUNCAL_3
373,2019-05-04,JUNCAL,name,Juncalito-Lote_19,JUNCAL
2968,2019-05-04,JUNCAL,lag_1,Juncalito-Lote_2,JUNCAL_1
5563,2019-05-04,JUNCAL,lag_2,Juncalito-Lote_3,JUNCAL_2
8158,2019-05-04,JUNCAL,lag_3,La_Isla-Lote_28,JUNCAL_3
374,2019-05-05,JUNCAL,name,Juncalito-Lote_19,JUNCAL
2969,2019-05-05,JUNCAL,lag_1,Juncalito-Lote_2,JUNCAL_1
5564,2019-05-05,JUNCAL,lag_2,Juncalito-Lote_3,JUNCAL_2
8159,2019-05-05,JUNCAL,lag_3,La_Isla-Lote_28,JUNCAL_3
375,2019-05-06,JUNCAL,name,Juncalito-Lote_19,JUNCAL
2970,2019-05-06,JUNCAL,lag_1,Juncalito-Lote_2,JUNCAL_1
5565,2019-05-06,JUNCAL,lag_2,Juncalito-Lote_3,JUNCAL_2
8160,2019-05-06,JUNCAL,lag_3,La_Isla-Lote_28,JUNCAL_3
376,2019-05-07,JUNCAL,name,Juncalito-Lote_20,JUNCAL
2971,2019-05-07,JUNCAL,lag_1,Juncalito-Lote_19,JUNCAL_1
5566,2019-05-07,JUNCAL,lag_2,Juncalito-Lote_2,JUNCAL_2
8161,2019-05-07,JUNCAL,lag_3,Juncalito-Lote_3,JUNCAL_3
377,2019-05-08,JUNCAL,name,Juncalito-Lote_20,JUNCAL
2972,2019-05-08,JUNCAL,lag_1,Juncalito-Lote_19,JUNCAL_1
5567,2019-05-08,JUNCAL,lag_2,Juncalito-Lote_2,JUNCAL_2
8162,2019-05-08,JUNCAL,lag_3,Juncalito-Lote_3,JUNCAL_3
378,2019-05-09,JUNCAL,name,Juncalito-Lote_21,JUNCAL
2973,2019-05-09,JUNCAL,lag_1,Juncalito-Lote_20,JUNCAL_1
5568,2019-05-09,JUNCAL,lag_2,Juncalito-Lote_19,JUNCAL_2
8163,2019-05-09,JUNCAL,lag_3,Juncalito-Lote_2,JUNCAL_3
379,2019-05-10,JUNCAL,name,Juncalito-Lote_21,JUNCAL
2974,2019-05-10,JUNCAL,lag_1,Juncalito-Lote_20,JUNCAL_1
5569,2019-05-10,JUNCAL,lag_2,Juncalito-Lote_19,JUNCAL_2
8164,2019-05-10,JUNCAL,lag_3,Juncalito-Lote_2,JUNCAL_3
380,2019-05-11,JUNCAL,name,Juncalito-Lote_21,JUNCAL
2975,2019-05-11,JUNCAL,lag_1,Juncalito-Lote_20,JUNCAL_1
5570,2019-05-11,JUNCAL,lag_2,Juncalito-Lote_19,JUNCAL_2
8165,2019-05-11,JUNCAL,lag_3,Juncalito-Lote_2,JUNCAL_3
381,2019-05-12,JUNCAL,name,Juncalito-Lote_1,JUNCAL
2976,2019-05-12,JUNCAL,lag_1,Juncalito-Lote_21,JUNCAL_1
5571,2019-05-12,JUNCAL,lag_2,Juncalito-Lote_20,JUNCAL_2
8166,2019-05-12,JUNCAL,lag_3,Juncalito-Lote_19,JUNCAL_3
382,2019-05-13,JUNCAL,name,Juncalito-Lote_1,JUNCAL
2977,2019-05-13,JUNCAL,lag_1,Juncalito-Lote_21,JUNCAL_1
5572,2019-05-13,JUNCAL,lag_2,Juncalito-Lote_20,JUNCAL_2
8167,2019-05-13,JUNCAL,lag_3,Juncalito-Lote_19,JUNCAL_3
383,2019-05-14,JUNCAL,name,Juncalito-Lote_1,JUNCAL
2978,2019-05-14,JUNCAL,lag_1,Juncalito-Lote_21,JUNCAL_1
5573,2019-05-14,JUNCAL,lag_2,Juncalito-Lote_20,JUNCAL_2
8168,2019-05-14,JUNCAL,lag_3,Juncalito-Lote_19,JUNCAL_3
384,2019-05-15,JUNCAL,name,Juncalito-Lote_18,JUNCAL
2979,2019-05-15,JUNCAL,lag_1,Juncalito-Lote_1,JUNCAL_1
5574,2019-05-15,JUNCAL,lag_2,Juncalito-Lote_21,JUNCAL_2
8169,2019-05-15,JUNCAL,lag_3,Juncalito-Lote_20,JUNCAL_3
385,2019-05-16,JUNCAL,name,Juncalito-Lote_18,JUNCAL
2980,2019-05-16,JUNCAL,lag_1,Juncalito-Lote_1,JUNCAL_1
5575,2019-05-16,JUNCAL,lag_2,Juncalito-Lote_21,JUNCAL_2
8170,2019-05-16,JUNCAL,lag_3,Juncalito-Lote_20,JUNCAL_3
386,2019-05-17,JUNCAL,name,La_Isla-Lote_ML_4,JUNCAL
2981,2019-05-17,JUNCAL,lag_1,Juncalito-Lote_18,JUNCAL_1
5576,2019-05-17,JUNCAL,lag_2,Juncalito-Lote_1,JUNCAL_2
8171,2019-05-17,JUNCAL,lag_3,Juncalito-Lote_21,JUNCAL_3
387,2019-05-18,JUNCAL,name,Juncalito-Lote_5,JUNCAL
2982,2019-05-18,JUNCAL,lag_1,La_Isla-Lote_ML_4,JUNCAL_1
5577,2019-05-18,JUNCAL,lag_2,Juncalito-Lote_18,JUNCAL_2
8172,2019-05-18,JUNCAL,lag_3,Juncalito-Lote_1,JUNCAL_3
388,2019-05-19,JUNCAL,name,Juncalito-Lote_5,JUNCAL
2983,2019-05-19,JUNCAL,lag_1,La_Isla-Lote_ML_4,JUNCAL_1
5578,2019-05-19,JUNCAL,lag_2,Juncalito-Lote_18,JUNCAL_2
8173,2019-05-19,JUNCAL,lag_3,Juncalito-Lote_1,JUNCAL_3
389,2019-05-20,JUNCAL,name,Juncalito-Lote_9,JUNCAL
2984,2019-05-20,JUNCAL,lag_1,Juncalito-Lote_5,JUNCAL_1
5579,2019-05-20,JUNCAL,lag_2,La_Isla-Lote_ML_4,JUNCAL_2
8174,2019-05-20,JUNCAL,lag_3,Juncalito-Lote_18,JUNCAL_3
390,2019-05-21,JUNCAL,name,Juncalito-Lote_9,JUNCAL
2985,2019-05-21,JUNCAL,lag_1,Juncalito-Lote_5,JUNCAL_1
5580,2019-05-21,JUNCAL,lag_2,La_Isla-Lote_ML_4,JUNCAL_2
8175,2019-05-21,JUNCAL,lag_3,Juncalito-Lote_18,JUNCAL_3
391,2019-05-22,JUNCAL,name,Juncalito-Lote_10,JUNCAL
2986,2019-05-22,JUNCAL,lag_1,Juncalito-Lote_9,JUNCAL_1
5581,2019-05-22,JUNCAL,lag_2,Juncalito-Lote_5,JUNCAL_2
8176,2019-05-22,JUNCAL,lag_3,La_Isla-Lote_ML_4,JUNCAL_3
392,2019-05-23,JUNCAL,name,Juncalito-Lote_11,JUNCAL
2987,2019-05-23,JUNCAL,lag_1,Juncalito-Lote_10,JUNCAL_1
5582,2019-05-23,JUNCAL,lag_2,Juncalito-Lote_9,JUNCAL_2
8177,2019-05-23,JUNCAL,lag_3,Juncalito-Lote_5,JUNCAL_3
393,2019-05-24,JUNCAL,name,Juncalito-Lote_11,JUNCAL
2988,2019-05-24,JUNCAL,lag_1,Juncalito-Lote_10,JUNCAL_1
5583,2019-05-24,JUNCAL,lag_2,Juncalito-Lote_9,JUNCAL_2
8178,2019-05-24,JUNCAL,lag_3,Juncalito-Lote_5,JUNCAL_3
394,2019-05-25,JUNCAL,name,Juncalito-Lote_11,JUNCAL
2989,2019-05-25,JUNCAL,lag_1,Juncalito-Lote_10,JUNCAL_1
5584,2019-05-25,JUNCAL,lag_2,Juncalito-Lote_9,JUNCAL_2
8179,2019-05-25,JUNCAL,lag_3,Juncalito-Lote_5,JUNCAL_3
395,2019-05-26,JUNCAL,name,Juncalito-Lote_11,JUNCAL
2990,2019-05-26,JUNCAL,lag_1,Juncalito-Lote_10,JUNCAL_1
5585,2019-05-26,JUNCAL,lag_2,Juncalito-Lote_9,JUNCAL_2
8180,2019-05-26,JUNCAL,lag_3,Juncalito-Lote_5,JUNCAL_3
396,2019-05-27,JUNCAL,name,Juncalito-Lote_12,JUNCAL
2991,2019-05-27,JUNCAL,lag_1,Juncalito-Lote_11,JUNCAL_1
5586,2019-05-27,JUNCAL,lag_2,Juncalito-Lote_10,JUNCAL_2
8181,2019-05-27,JUNCAL,lag_3,Juncalito-Lote_9,JUNCAL_3
397,2019-05-28,JUNCAL,name,Juncalito-Lote_12,JUNCAL
2992,2019-05-28,JUNCAL,lag_1,Juncalito-Lote_11,JUNCAL_1
5587,2019-05-28,JUNCAL,lag_2,Juncalito-Lote_10,JUNCAL_2
8182,2019-05-28,JUNCAL,lag_3,Juncalito-Lote_9,JUNCAL_3
398,2019-05-29,JUNCAL,name,Juncalito-Lote_8,JUNCAL
2993,2019-05-29,JUNCAL,lag_1,Juncalito-Lote_12,JUNCAL_1
5588,2019-05-29,JUNCAL,lag_2,Juncalito-Lote_11,JUNCAL_2
8183,2019-05-29,JUNCAL,lag_3,Juncalito-Lote_10,JUNCAL_3
399,2019-05-30,JUNCAL,name,Juncalito-Lote_14,JUNCAL
2994,2019-05-30,JUNCAL,lag_1,Juncalito-Lote_8,JUNCAL_1
5589,2019-05-30,JUNCAL,lag_2,Juncalito-Lote_12,JUNCAL_2
8184,2019-05-30,JUNCAL,lag_3,Juncalito-Lote_11,JUNCAL_3
400,2019-05-31,JUNCAL,name,Juncalito-Lote_5,JUNCAL
2995,2019-05-31,JUNCAL,lag_1,Juncalito-Lote_14,JUNCAL_1
5590,2019-05-31,JUNCAL,lag_2,Juncalito-Lote_8,JUNCAL_2
8185,2019-05-31,JUNCAL,lag_3,Juncalito-Lote_12,JUNCAL_3
401,2019-06-01,JUNCAL,name,Juncalito-Lote_5,JUNCAL
2996,2019-06-01,JUNCAL,lag_1,Juncalito-Lote_14,JUNCAL_1
5591,2019-06-01,JUNCAL,lag_2,Juncalito-Lote_8,JUNCAL_2
8186,2019-06-01,JUNCAL,lag_3,Juncalito-Lote_12,JUNCAL_3
402,2019-06-02,JUNCAL,name,Juncalito-Lote_6,JUNCAL
2997,2019-06-02,JUNCAL,lag_1,Juncalito-Lote_5,JUNCAL_1
5592,2019-06-02,JUNCAL,lag_2,Juncalito-Lote_14,JUNCAL_2
8187,2019-06-02,JUNCAL,lag_3,Juncalito-Lote_8,JUNCAL_3
403,2019-06-03,JUNCAL,name,Juncalito-Lote_19,JUNCAL
2998,2019-06-03,JUNCAL,lag_1,Juncalito-Lote_6,JUNCAL_1
5593,2019-06-03,JUNCAL,lag_2,Juncalito-Lote_5,JUNCAL_2
8188,2019-06-03,JUNCAL,lag_3,Juncalito-Lote_14,JUNCAL_3
404,2019-06-04,JUNCAL,name,Juncalito-Lote_19,JUNCAL
2999,2019-06-04,JUNCAL,lag_1,Juncalito-Lote_6,JUNCAL_1
5594,2019-06-04,JUNCAL,lag_2,Juncalito-Lote_5,JUNCAL_2
8189,2019-06-04,JUNCAL,lag_3,Juncalito-Lote_14,JUNCAL_3
405,2019-06-05,JUNCAL,name,La_Isla-Lote_28,JUNCAL
3000,2019-06-05,JUNCAL,lag_1,Juncalito-Lote_19,JUNCAL_1
5595,2019-06-05,JUNCAL,lag_2,Juncalito-Lote_6,JUNCAL_2
8190,2019-06-05,JUNCAL,lag_3,Juncalito-Lote_5,JUNCAL_3
406,2019-06-06,JUNCAL,name,La_Isla-Lote_28,JUNCAL
3001,2019-06-06,JUNCAL,lag_1,Juncalito-Lote_19,JUNCAL_1
5596,2019-06-06,JUNCAL,lag_2,Juncalito-Lote_6,JUNCAL_2
8191,2019-06-06,JUNCAL,lag_3,Juncalito-Lote_5,JUNCAL_3
407,2019-06-07,JUNCAL,name,La_Isla-Lote_28,JUNCAL
3002,2019-06-07,JUNCAL,lag_1,Juncalito-Lote_19,JUNCAL_1
5597,2019-06-07,JUNCAL,lag_2,Juncalito-Lote_6,JUNCAL_2
8192,2019-06-07,JUNCAL,lag_3,Juncalito-Lote_5,JUNCAL_3
408,2019-06-08,JUNCAL,name,Juncalito-Lote_7,JUNCAL
3003,2019-06-08,JUNCAL,lag_1,La_Isla-Lote_28,JUNCAL_1
5598,2019-06-08,JUNCAL,lag_2,Juncalito-Lote_19,JUNCAL_2
8193,2019-06-08,JUNCAL,lag_3,Juncalito-Lote_6,JUNCAL_3
409,2019-06-09,JUNCAL,name,Juncalito-Lote_7,JUNCAL
3004,2019-06-09,JUNCAL,lag_1,La_Isla-Lote_28,JUNCAL_1
5599,2019-06-09,JUNCAL,lag_2,Juncalito-Lote_19,JUNCAL_2
8194,2019-06-09,JUNCAL,lag_3,Juncalito-Lote_6,JUNCAL_3
410,2019-06-10,JUNCAL,name,Juncalito-Lote_7,JUNCAL
3005,2019-06-10,JUNCAL,lag_1,La_Isla-Lote_28,JUNCAL_1
5600,2019-06-10,JUNCAL,lag_2,Juncalito-Lote_19,JUNCAL_2
8195,2019-06-10,JUNCAL,lag_3,Juncalito-Lote_6,JUNCAL_3
411,2019-06-11,JUNCAL,name,Juncalito-Lote_3,JUNCAL
3006,2019-06-11,JUNCAL,lag_1,Juncalito-Lote_7,JUNCAL_1
5601,2019-06-11,JUNCAL,lag_2,La_Isla-Lote_28,JUNCAL_2
8196,2019-06-11,JUNCAL,lag_3,Juncalito-Lote_19,JUNCAL_3
412,2019-06-12,JUNCAL,name,Juncalito-Lote_3,JUNCAL
3007,2019-06-12,JUNCAL,lag_1,Juncalito-Lote_7,JUNCAL_1
5602,2019-06-12,JUNCAL,lag_2,La_Isla-Lote_28,JUNCAL_2
8197,2019-06-12,JUNCAL,lag_3,Juncalito-Lote_19,JUNCAL_3
413,2019-06-13,JUNCAL,name,Juncalito-Lote_2,JUNCAL
3008,2019-06-13,JUNCAL,lag_1,Juncalito-Lote_3,JUNCAL_1
5603,2019-06-13,JUNCAL,lag_2,Juncalito-Lote_7,JUNCAL_2
8198,2019-06-13,JUNCAL,lag_3,La_Isla-Lote_28,JUNCAL_3
414,2019-06-14,JUNCAL,name,Juncalito-Lote_2,JUNCAL
3009,2019-06-14,JUNCAL,lag_1,Juncalito-Lote_3,JUNCAL_1
5604,2019-06-14,JUNCAL,lag_2,Juncalito-Lote_7,JUNCAL_2
8199,2019-06-14,JUNCAL,lag_3,La_Isla-Lote_28,JUNCAL_3
415,2019-06-15,JUNCAL,name,Juncalito-Lote_2,JUNCAL
3010,2019-06-15,JUNCAL,lag_1,Juncalito-Lote_3,JUNCAL_1
5605,2019-06-15,JUNCAL,lag_2,Juncalito-Lote_7,JUNCAL_2
8200,2019-06-15,JUNCAL,lag_3,La_Isla-Lote_28,JUNCAL_3
416,2019-06-16,JUNCAL,name,Juncalito-Lote_2,JUNCAL
3011,2019-06-16,JUNCAL,lag_1,Juncalito-Lote_3,JUNCAL_1
5606,2019-06-16,JUNCAL,lag_2,Juncalito-Lote_7,JUNCAL_2
8201,2019-06-16,JUNCAL,lag_3,La_Isla-Lote_28,JUNCAL_3
417,2019-06-17,JUNCAL,name,Juncalito-Lote_20,JUNCAL
3012,2019-06-17,JUNCAL,lag_1,Juncalito-Lote_2,JUNCAL_1
5607,2019-06-17,JUNCAL,lag_2,Juncalito-Lote_3,JUNCAL_2
8202,2019-06-17,JUNCAL,lag_3,Juncalito-Lote_7,JUNCAL_3
418,2019-06-18,JUNCAL,name,Juncalito-Lote_20,JUNCAL
3013,2019-06-18,JUNCAL,lag_1,Juncalito-Lote_2,JUNCAL_1
5608,2019-06-18,JUNCAL,lag_2,Juncalito-Lote_3,JUNCAL_2
8203,2019-06-18,JUNCAL,lag_3,Juncalito-Lote_7,JUNCAL_3
419,2019-06-19,JUNCAL,name,Juncalito-Lote_20,JUNCAL
3014,2019-06-19,JUNCAL,lag_1,Juncalito-Lote_2,JUNCAL_1
5609,2019-06-19,JUNCAL,lag_2,Juncalito-Lote_3,JUNCAL_2
8204,2019-06-19,JUNCAL,lag_3,Juncalito-Lote_7,JUNCAL_3
420,2019-06-20,JUNCAL,name,Juncalito-Lote_21,JUNCAL
3015,2019-06-20,JUNCAL,lag_1,Juncalito-Lote_20,JUNCAL_1
5610,2019-06-20,JUNCAL,lag_2,Juncalito-Lote_2,JUNCAL_2
8205,2019-06-20,JUNCAL,lag_3,Juncalito-Lote_3,JUNCAL_3
421,2019-06-21,JUNCAL,name,Juncalito-Lote_21,JUNCAL
3016,2019-06-21,JUNCAL,lag_1,Juncalito-Lote_20,JUNCAL_1
5611,2019-06-21,JUNCAL,lag_2,Juncalito-Lote_2,JUNCAL_2
8206,2019-06-21,JUNCAL,lag_3,Juncalito-Lote_3,JUNCAL_3
422,2019-06-22,JUNCAL,name,Juncalito-Lote_21,JUNCAL
3017,2019-06-22,JUNCAL,lag_1,Juncalito-Lote_20,JUNCAL_1
5612,2019-06-22,JUNCAL,lag_2,Juncalito-Lote_2,JUNCAL_2
8207,2019-06-22,JUNCAL,lag_3,Juncalito-Lote_3,JUNCAL_3
423,2019-06-23,JUNCAL,name,Juncalito-Lote_21,JUNCAL
3018,2019-06-23,JUNCAL,lag_1,Juncalito-Lote_20,JUNCAL_1
5613,2019-06-23,JUNCAL,lag_2,Juncalito-Lote_2,JUNCAL_2
8208,2019-06-23,JUNCAL,lag_3,Juncalito-Lote_3,JUNCAL_3
424,2019-06-24,JUNCAL,name,Juncalito-Lote_1,JUNCAL
3019,2019-06-24,JUNCAL,lag_1,Juncalito-Lote_21,JUNCAL_1
5614,2019-06-24,JUNCAL,lag_2,Juncalito-Lote_20,JUNCAL_2
8209,2019-06-24,JUNCAL,lag_3,Juncalito-Lote_2,JUNCAL_3
425,2019-06-25,JUNCAL,name,Juncalito-Lote_1,JUNCAL
3020,2019-06-25,JUNCAL,lag_1,Juncalito-Lote_21,JUNCAL_1
5615,2019-06-25,JUNCAL,lag_2,Juncalito-Lote_20,JUNCAL_2
8210,2019-06-25,JUNCAL,lag_3,Juncalito-Lote_2,JUNCAL_3
426,2019-06-26,JUNCAL,name,La_Isla-Lote_ML_1,JUNCAL
3021,2019-06-26,JUNCAL,lag_1,Juncalito-Lote_1,JUNCAL_1
5616,2019-06-26,JUNCAL,lag_2,Juncalito-Lote_21,JUNCAL_2
8211,2019-06-26,JUNCAL,lag_3,Juncalito-Lote_20,JUNCAL_3
427,2019-06-27,JUNCAL,name,La_Isla-Lote_ML_1,JUNCAL
3022,2019-06-27,JUNCAL,lag_1,Juncalito-Lote_1,JUNCAL_1
5617,2019-06-27,JUNCAL,lag_2,Juncalito-Lote_21,JUNCAL_2
8212,2019-06-27,JUNCAL,lag_3,Juncalito-Lote_20,JUNCAL_3
428,2019-06-28,JUNCAL,name,Juncalito-Lote_18,JUNCAL
3023,2019-06-28,JUNCAL,lag_1,La_Isla-Lote_ML_1,JUNCAL_1
5618,2019-06-28,JUNCAL,lag_2,Juncalito-Lote_1,JUNCAL_2
8213,2019-06-28,JUNCAL,lag_3,Juncalito-Lote_21,JUNCAL_3
429,2019-06-29,JUNCAL,name,Juncalito-Lote_18,JUNCAL
3024,2019-06-29,JUNCAL,lag_1,La_Isla-Lote_ML_1,JUNCAL_1
5619,2019-06-29,JUNCAL,lag_2,Juncalito-Lote_1,JUNCAL_2
8214,2019-06-29,JUNCAL,lag_3,Juncalito-Lote_21,JUNCAL_3
430,2019-06-30,JUNCAL,name,Juncalito-Lote_16,JUNCAL
3025,2019-06-30,JUNCAL,lag_1,Juncalito-Lote_18,JUNCAL_1
5620,2019-06-30,JUNCAL,lag_2,La_Isla-Lote_ML_1,JUNCAL_2
8215,2019-06-30,JUNCAL,lag_3,Juncalito-Lote_1,JUNCAL_3
431,2019-07-01,JUNCAL,name,Juncalito-Lote_18,JUNCAL
3026,2019-07-01,JUNCAL,lag_1,Juncalito-Lote_16,JUNCAL_1
5621,2019-07-01,JUNCAL,lag_2,Juncalito-Lote_18,JUNCAL_2
8216,2019-07-01,JUNCAL,lag_3,La_Isla-Lote_ML_1,JUNCAL_3
432,2019-07-02,JUNCAL,name,Juncalito-Lote_17,JUNCAL
3027,2019-07-02,JUNCAL,lag_1,Juncalito-Lote_18,JUNCAL_1
5622,2019-07-02,JUNCAL,lag_2,Juncalito-Lote_16,JUNCAL_2
8217,2019-07-02,JUNCAL,lag_3,Juncalito-Lote_18,JUNCAL_3
433,2019-07-03,JUNCAL,name,La_Isla-Lote_ML_4,JUNCAL
3028,2019-07-03,JUNCAL,lag_1,Juncalito-Lote_17,JUNCAL_1
5623,2019-07-03,JUNCAL,lag_2,Juncalito-Lote_18,JUNCAL_2
8218,2019-07-03,JUNCAL,lag_3,Juncalito-Lote_16,JUNCAL_3
434,2019-07-04,JUNCAL,name,Juncalito-Lote_17,JUNCAL
3029,2019-07-04,JUNCAL,lag_1,La_Isla-Lote_ML_4,JUNCAL_1
5624,2019-07-04,JUNCAL,lag_2,Juncalito-Lote_17,JUNCAL_2
8219,2019-07-04,JUNCAL,lag_3,Juncalito-Lote_18,JUNCAL_3
435,2019-07-05,JUNCAL,name,Juncalito-Lote_17,JUNCAL
3030,2019-07-05,JUNCAL,lag_1,La_Isla-Lote_ML_4,JUNCAL_1
5625,2019-07-05,JUNCAL,lag_2,Juncalito-Lote_17,JUNCAL_2
8220,2019-07-05,JUNCAL,lag_3,Juncalito-Lote_18,JUNCAL_3
436,2019-07-06,JUNCAL,name,Juncalito-Lote_5,JUNCAL
3031,2019-07-06,JUNCAL,lag_1,Juncalito-Lote_17,JUNCAL_1
5626,2019-07-06,JUNCAL,lag_2,La_Isla-Lote_ML_4,JUNCAL_2
8221,2019-07-06,JUNCAL,lag_3,Juncalito-Lote_17,JUNCAL_3
437,2019-07-07,JUNCAL,name,Juncalito-Lote_5,JUNCAL
3032,2019-07-07,JUNCAL,lag_1,Juncalito-Lote_17,JUNCAL_1
