,date,HATO,variable,value,HATO_C
20,2019-08-28,ISLA,name,La_Isla-Lote_ML_3,ISLA
2615,2019-08-28,ISLA,lag_1,La_Isla-Lote_6,ISLA_1
5210,2019-08-28,ISLA,lag_2,La_Isla-Lote_5,ISLA_2
7805,2019-08-28,ISLA,lag_3,La_Isla-Lote_18,ISLA_3
21,2019-08-29,ISLA,name,La_Isla-Lote_ML_2,ISLA
2616,2019-08-29,ISLA,lag_1,La_Isla-Lote_ML_3,ISLA_1
5211,2019-08-29,ISLA,lag_2,La_Isla-Lote_6,ISLA_2
7806,2019-08-29,ISLA,lag_3,La_Isla-Lote_5,ISLA_3
22,2019-08-30,ISLA,name,La_Isla-Lote_ML_2,ISLA
2617,2019-08-30,ISLA,lag_1,La_Isla-Lote_ML_3,ISLA_1
5212,2019-08-30,ISLA,lag_2,La_Isla-Lote_6,ISLA_2
7807,2019-08-30,ISLA,lag_3,La_Isla-Lote_5,ISLA_3
23,2019-08-31,ISLA,name,La_Isla-Lote_ML_2,ISLA
2618,2019-08-31,ISLA,lag_1,La_Isla-Lote_ML_3,ISLA_1
5213,2019-08-31,ISLA,lag_2,La_Isla-Lote_6,ISLA_2
7808,2019-08-31,ISLA,lag_3,La_Isla-Lote_5,ISLA_3
24,2019-09-01,ISLA,name,La_Isla-Lote_ML_2,ISLA
2619,2019-09-01,ISLA,lag_1,La_Isla-Lote_ML_3,ISLA_1
5214,2019-09-01,ISLA,lag_2,La_Isla-Lote_6,ISLA_2
7809,2019-09-01,ISLA,lag_3,La_Isla-Lote_5,ISLA_3
25,2019-09-02,ISLA,name,La_Isla-Lote_ML_2,ISLA
2620,2019-09-02,ISLA,lag_1,La_Isla-Lote_ML_3,ISLA_1
5215,2019-09-02,ISLA,lag_2,La_Isla-Lote_6,ISLA_2
7810,2019-09-02,ISLA,lag_3,La_Isla-Lote_5,ISLA_3
26,2019-09-03,ISLA,name,La_Isla-Lote_ML_2,ISLA
2621,2019-09-03,ISLA,lag_1,La_Isla-Lote_ML_3,ISLA_1
5216,2019-09-03,ISLA,lag_2,La_Isla-Lote_6,ISLA_2
7811,2019-09-03,ISLA,lag_3,La_Isla-Lote_5,ISLA_3
27,2019-09-04,ISLA,name,La_Isla-Lote_28,ISLA
2622,2019-09-04,ISLA,lag_1,La_Isla-Lote_ML_2,ISLA_1
5217,2019-09-04,ISLA,lag_2,La_Isla-Lote_ML_3,ISLA_2
7812,2019-09-04,ISLA,lag_3,La_Isla-Lote_6,ISLA_3
28,2019-09-05,ISLA,name,La_Isla-Lote_28,ISLA
2623,2019-09-05,ISLA,lag_1,La_Isla-Lote_ML_2,ISLA_1
5218,2019-09-05,ISLA,lag_2,La_Isla-Lote_ML_3,ISLA_2
7813,2019-09-05,ISLA,lag_3,La_Isla-Lote_6,ISLA_3
29,2019-09-06,ISLA,name,La_Isla-Lote_28,ISLA
2624,2019-09-06,ISLA,lag_1,La_Isla-Lote_ML_2,ISLA_1
5219,2019-09-06,ISLA,lag_2,La_Isla-Lote_ML_3,ISLA_2
7814,2019-09-06,ISLA,lag_3,La_Isla-Lote_6,ISLA_3
30,2019-09-07,ISLA,name,La_Isla-Lote_28,ISLA
2625,2019-09-07,ISLA,lag_1,La_Isla-Lote_ML_2,ISLA_1
5220,2019-09-07,ISLA,lag_2,La_Isla-Lote_ML_3,ISLA_2
7815,2019-09-07,ISLA,lag_3,La_Isla-Lote_6,ISLA_3
31,2019-09-08,ISLA,name,La_Isla-Lote_28,ISLA
2626,2019-09-08,ISLA,lag_1,La_Isla-Lote_ML_2,ISLA_1
5221,2019-09-08,ISLA,lag_2,La_Isla-Lote_ML_3,ISLA_2
7816,2019-09-08,ISLA,lag_3,La_Isla-Lote_6,ISLA_3
32,2019-09-09,ISLA,name,La_Isla-Lote_28,ISLA
2627,2019-09-09,ISLA,lag_1,La_Isla-Lote_ML_2,ISLA_1
5222,2019-09-09,ISLA,lag_2,La_Isla-Lote_ML_3,ISLA_2
7817,2019-09-09,ISLA,lag_3,La_Isla-Lote_6,ISLA_3
33,2019-09-10,ISLA,name,La_Isla-Lote_28,ISLA
2628,2019-09-10,ISLA,lag_1,La_Isla-Lote_ML_2,ISLA_1
5223,2019-09-10,ISLA,lag_2,La_Isla-Lote_ML_3,ISLA_2
7818,2019-09-10,ISLA,lag_3,La_Isla-Lote_6,ISLA_3
34,2019-09-11,ISLA,name,La_Isla-Lote_28,ISLA
2629,2019-09-11,ISLA,lag_1,La_Isla-Lote_ML_2,ISLA_1
5224,2019-09-11,ISLA,lag_2,La_Isla-Lote_ML_3,ISLA_2
7819,2019-09-11,ISLA,lag_3,La_Isla-Lote_6,ISLA_3
35,2019-09-12,ISLA,name,La_Isla-Lote_4,ISLA
2630,2019-09-12,ISLA,lag_1,La_Isla-Lote_28,ISLA_1
5225,2019-09-12,ISLA,lag_2,La_Isla-Lote_ML_2,ISLA_2
7820,2019-09-12,ISLA,lag_3,La_Isla-Lote_ML_3,ISLA_3
36,2019-09-13,ISLA,name,La_Isla-Lote_4,ISLA
2631,2019-09-13,ISLA,lag_1,La_Isla-Lote_28,ISLA_1
5226,2019-09-13,ISLA,lag_2,La_Isla-Lote_ML_2,ISLA_2
7821,2019-09-13,ISLA,lag_3,La_Isla-Lote_ML_3,ISLA_3
37,2019-09-14,ISLA,name,La_Isla-Lote_4,ISLA
2632,2019-09-14,ISLA,lag_1,La_Isla-Lote_28,ISLA_1
5227,2019-09-14,ISLA,lag_2,La_Isla-Lote_ML_2,ISLA_2
7822,2019-09-14,ISLA,lag_3,La_Isla-Lote_ML_3,ISLA_3
38,2019-09-15,ISLA,name,La_Isla-Lote_4,ISLA
2633,2019-09-15,ISLA,lag_1,La_Isla-Lote_28,ISLA_1
5228,2019-09-15,ISLA,lag_2,La_Isla-Lote_ML_2,ISLA_2
7823,2019-09-15,ISLA,lag_3,La_Isla-Lote_ML_3,ISLA_3
39,2019-09-16,ISLA,name,La_Isla-Lote_4,ISLA
2634,2019-09-16,ISLA,lag_1,La_Isla-Lote_28,ISLA_1
5229,2019-09-16,ISLA,lag_2,La_Isla-Lote_ML_2,ISLA_2
7824,2019-09-16,ISLA,lag_3,La_Isla-Lote_ML_3,ISLA_3
40,2019-09-17,ISLA,name,La_Isla-Lote_18,ISLA
2635,2019-09-17,ISLA,lag_1,La_Isla-Lote_4,ISLA_1
5230,2019-09-17,ISLA,lag_2,La_Isla-Lote_28,ISLA_2
7825,2019-09-17,ISLA,lag_3,La_Isla-Lote_ML_2,ISLA_3
41,2019-09-18,ISLA,name,La_Isla-Lote_18,ISLA
