Hato	Lote	Grupo	Ubicación	ID	Referencia	Color	Raza	Sexo/ tipo	Padre	Madre gen.	Madre 	Edad	Estado	Nacimiento	Peso nacim.	Destete	Peso destete	kg/d destete	Fecha ultimo peso	Ultimo peso	kg/d dest/últ	kg/d nac./últ.	Entrada	Origen	Peso entrada	Valor entrada	Salida	Destino	Peso salida	Valor salida	kg ganados	$ ganados	kg/d	$/d	Int. entre partos	No. crías	kg.prom. nacim.	kg dest. (vida)	Valor prom. destete	kg/d al destete /IEP	$/d  al destete	Leche lact. (vida)	Leche 305d (vida)	Leche vida vs.hato	Prot. vida vs.hato	Grasa vida vs.hato	Leche /día/IEP	Prot /día	Grasa /día	Costo /día	P	Ult. parto	1er. celo	Ult. celo	Toro programado	1er ser	# ser	Ult. servicio	Toro últ.serv.	Dias serv	Ult. diag. preñez	Ult. resultado	Preñada del toro	Concepción	Días preñez	No. crías	Destete	kg dest.	$ dest.	Secado	Leche lactan.	Leche 305d	Prot. lac. kg	Prot. 305d  kg	Grasa lact. kg	Grasa 305d kg	Lt  Lact. vs.hato	Prot. lac vs hato	Grasa lac. vs hato	Costo eventos	Prot.% prom	Grasa% prom	Lac.% prom	CSS'000 prom	Fecha últ. leche	Ult. leche	%últ. prot.	%últ. grasa	%últ. lacto.	Ult. CCS '000	Próximo parto 	Nombre	Numero	Registro	Id. Electrónica	Nombre largo	Retiro leche hasta	Retiro carne hasta	Cría (este parto)	AM	PM	TOTAL	Fecha inicio lactoinducción	Comentarios	Mes últ. parto	Mes prox. parto	Estado fertilidad	Estado lactancia	Toro últ. parto	Edad 1er. parto	Peso 1er. parto	Inicio servicio	Ult. TE	Donadora	Ult. aborto	No. abo (vida)	Tercio lactancia	Días al pico	Prod. al pico	Leche acumulada	Leche/día acum.	Leche/ día vida	Conc./ día 	Conc. acumulado	Conc./leche actual	Conc./leche acumulado	Días secos (actual)	Prom. días secos	Kg/día 	kg/día desde entrada	Ult. cond. corporal	Cond. corp.	Abuelo materno	Leche lact. madre	Leche 305d madre	Leche vrs. hato 	kg/dia al destete 	kg/día dest (vida)	Reg. leche	Life high SCC	Curr. high SCC	Mast. vida	Mast. act.	Cojera vida	Cojera act.	Prom part -conc.	Vida serv-concep.	Prog. Novillas	Prog. vacas	Prog. machos
RC		R 2		11                  			HO	He:Rp	7	2187	2187	2a6m	PR/Lac	29/09/2018	35.0	30/09/2018...1	35.4	0.388	17/01/2020475	355.0	0.674	0.674							499.5		499.5		0.546		357	1	35.0						5'016	105%	100%	100%	8.1			$491	 1	3/11/2020173	29/11/2020.26	17/01/2021.75		23/12/2020.50	2	17/01/2021.75	114	98	7/04/2021.155	Cargada Ma	114	17/01/2021.75	98	1	4/11/2020.....1			27/08/2021297	5'016	5'016					105%	100%	100%	$80'000					15/04/2021163	16.0					26/10/2021357	11	11		900113001750140				M-11-1(Ma:Rp)						2020/11 (noviembre)	2021/10 (octubre)	PR	Lac	25	2a1m	418	23/10/2021					2 101-200	89	20.4	2'899	17.8	17.8	5.0	815	0.313	0.281							85	3'547	3'547	78%			11	0	0	0	0	0	0	75	1.5			
ISLA		PARAI		12                  			HO	He:Rp	7	1749	1749	2a6m	PR/Lac	30/09/2018	35.0	1/10/2018.....1	35.4	0.354	17/01/2020474	352.0	0.669	0.669							500.0		500.0		0.548		409	1	34.0	34.1					5'548	115%	100%	100%	7.6			$515	 1	7/11/2020169	23/01/2021.77	14/03/2021127		23/01/2021.77	3	14/03/2021127	115	42	21/04/2021165	Positivo	115	14/03/2021127	42	1	8/11/2020.....1	34.1			7'149	5'548					115%	100%	100%	$85'000					15/04/2021159	17.2					21/12/2021409	12	12		900113001750125				443(He:Rp)						2020/11 (noviembre)	2021/12 (diciembre)	PR	Lac	107	2a1m	420	27/10/2021					2 101-200	53	23.7	3'092	19.4	19.4	5.0	887	0.291	0.287							49	5'220	5'171	93%			11	0	0	0	0	0	0	127	2.0	443		
ISLA		PARAI		13                  			HO	He:Rp	9	2396	2396	2a6m	Ser/Lac	30/09/2018	35.0	1/10/2018.....1	35.5	0.458	1/04/2020.549	330.0	0.537	0.537							499.0		499.0		0.547			1	30.0	30.6					7'727	133%	100%	100%	3.6			$1'538	 1	9/02/202175	31/03/2021.50	31/03/2021.50		31/03/2021.50	1	31/03/2021.50	126	25						1	10/02/2021...1	30.6			7'727	7'727					133%	100%	100%	$100'000					15/04/2021.65	26.7						13	13		900113001750142				500(He:Rp)						2021/02 (febrero)		Ser	Lac	109	2a4m	467	29/01/2022					1 0-100	65	26.7	1'325	20.4	20.4	9.0	381	0.337	0.287							94	7'181	7'215	127%			4	0	0	0	0	0	0		1.0	500		
ISLA		NI		15                  			HO	He:Rp	1			2a6m	PR	30/09/2018	35.0	1/10/2018.....1	35.6	0.604	1/04/2020.549	331.0	0.539	0.539							500.0		500.0		0.548																		 0		8/05/2020.586	13/03/2021895		8/05/2020.586	4	13/03/2021895	80	43	21/04/2021934	Positivo	80	13/03/2021895	43															$172'912											20/12/20211177	15	15		900113001750123											2021/12 (diciembre)						13/11/2019			24/02/2021	2													0.507	0.603																				
RC		R 2		16                  			HO	He:Rp	9	2425	2425	2a6m	Ser/Lac	3/10/2018	35.0	4/10/2018.....1	35.4	0.378	10/06/2020616	403.0	0.598	0.597							497.5		497.5		0.547			1	36.0	36.3					6'095	123%	100%	100%	6.1			$933	 1	16/12/2020130	5/02/2021...51	10/04/2021115		5/02/2021...51	3	10/04/2021115	123	15	7/04/2021.112	Negativo				1	17/12/2020...1	36.3			6'095	6'095					123%	100%	100%	$112'000					15/04/2021120	20.2						16	16		900113001750111				474(He:Rp)						2020/12 (diciembre)		Ser	Lac	109	2a2m	438	5/12/2021			7/04/2021	1	2 101-200	46	22.5	2'438	20.3	20.3	7.0	652	0.347	0.267							94	5'083	5'529	96%			8	0	0	0	0	0	0		1.0	474		
RC		R 2		20                  			HO	He:Rp	GUTHRIE	PATRICIA TORRES	419 PATRCIA TORRES	2a10m	PR/Lac	30/05/2018	35.0	31/05/2018...1	35.8	0.784	1/04/2020.672	363.0	0.488	0.488							500.0		500.0		0.483		357	1	32.0	32.1					5'154	112%	100%	100%	10.2			$212	 1	8/10/2020199	8/11/2020...31	22/12/2020.75		29/11/2020.52	2	22/12/2020.75	113	124	24/02/2021139	Cargada	113	22/12/2020.75	124	1	9/10/2020.....1	32.1		1/08/2021.297	5'154	5'154					112%	100%	100%	$40'000					15/04/2021189	14.3					30/09/2021357	419	20		900113001750180				420(He:Rp)						2020/10 (octubre)	2021/09 (septiembre)	PR	Lac	25	2a4m	466	27/09/2021					2 101-200	83	22.2	3'625	19.2	19.2	3.0	1'013	0.210	0.279													13	0	0	0	0	0	0	75	2.0	420		
ISLA		NI		21                  			HO	He:Rp	98	PATRICIA TORRES	422 PATRICIA TORRES	2a9m	PR	3/07/2018	35.0	4/07/2018.....1	35.6	0.620	7/11/2019.492	330.0	0.600	0.600							500.0		500.0		0.499																		 0		13/02/2020590	12/08/2020771		13/02/2020590	3	12/08/2020771	109	256	21/10/2020841	Cargada	109	12/08/2020771	256															$90'600											21/05/20211053	422	21		900113001750178											2021/05 (mayo)						16/08/2019			2/07/2020	1													0.406	0.671																				
RC		R 2		22                  			HO	He:Rp	GUTHRIE	PATRICIA TORRES	424 PATRICIA TORRES	2a9m	PR/Lac	19/07/2018	35.0	20/07/2018...1	35.7	0.694	17/01/2020547	390.0	0.649	0.649							500.0		500.0		0.507		363	1	35.0						5'817	123%	100%	100%	9.4			$736	 1	3/11/2020173	11/01/2021.69	23/01/2021.81		11/01/2021.69	2	23/01/2021.81	114	92	7/04/2021.155	Cargada He	114	23/01/2021.81	92	1	4/11/2020.....1			2/09/2021.303	5'817	5'817					123%	100%	100%	$120'000					15/04/2021163	17.5					1/11/2021.363	424	22		900113001750173				M-22-1(Ma:Rp)						2020/11 (noviembre)	2021/11 (noviembre)	PR	Lac	5	2a3m	454	23/10/2021					2 101-200	42	23.7	3'403	20.9	20.9	5.0	1'029	0.286	0.302													11	0	0	0	0	0	0	81	1.5			
ISLA		PARAI		23                  			HO	He:Rp	98	PATRICIA TORRES	427 PATRICIA TORRES	2a8m	PR/Lac	15/08/2018	35.0	16/08/2018...1	35.7	0.691	1/04/2020.595	424.0	0.654	0.654							500.0		500.0		0.521		446								6'215	123%	100%	100%	11.4			$244	 1	12/08/2020256	17/10/2020.66	23/01/2021164		17/10/2020.66	3	23/01/2021164	113	92	7/04/2021.238	Cargada Ma	113	23/01/2021164	92		13/08/2020...1			2/09/2021.386	7'785	6'215					123%	100%	100%	$60'000					15/04/2021246	19.9					1/11/2021.446	427	23		900113001750171										2020/08 (agosto)	2021/11 (noviembre)	PR	Lac		1a11m	399	1/08/2021			3/01/2021	1	3 >200	81	24.4	5'075	20.6	20.6	5.0	1'498	0.251	0.295													16	0	0	0	0	0	0	164	3.0			
ISLA		JCAL		24                  			HO	He:Rp	98	PATRICIA TORRES	429 PATRICIA TORRES	2a7m	Ser/Lac	9/09/2018	35.0	10/09/2018...1	35.7	0.725	17/01/2020495	342.0	0.620	0.620							500.0		500.0		0.535										4'328	79%	100%	100%	2.3				 1	6/02/202178	5/04/2021...58	5/04/2021...58		5/04/2021...58	1	5/04/2021...58	28	20							7/02/2021.....1				4'328	4'328					79%	100%	100%						15/04/2021.68	14.7						429	24		900113001750168										2021/02 (febrero)		Ser	Lac		2a4m	476	26/01/2022				2	1 0-100	37	14.9	856	12.6	12.6	5.0	340	0.340	0.397													5	0	0	0	0	0	0		6.0			
