Unnamed: 0,poly,name,date,HATO,TIPO DE FORRAJE,AFORO,NUMERO ANIMALES,LECHE TOTAL,LECHE VACA,lote_change,ultimo_pastoreo,dias_de_pastoreo,dias_sin_pastoreo,ultimo_animales,ultima_fumigada,ultima_siembra,ultima_renovada,ultima_desbrosada,ultima_abonada,ultima_enmienda,ultima_rotobo,dias_sin_fumigada,dias_sin_siembra,dias_sin_renovada,dias_sin_desbrosada,dias_sin_abonada,dias_sin_enmienda,dias_sin_rotobo
2130,11,RC12,2019-01-05,RECODO 3,KYKUYO,1.8,140.0,2689.0,19.207142857142856,False,2019-01-05 00:00:00,3,,140.0,,,,,,,,,,,,,,
255,81,Juncalito-Lote_1,2019-01-06,JUNCAL,KYKUYO,1.7,134.0,2533.0,18.902985074626862,False,2019-01-06 00:00:00,1,,134.0,,,,,,,,,,,,,,
724,114,Paraiso-Lote_13,2019-01-06,PARAISO,KYKUYO,1.9,127.0,2064.0,16.251968503937007,False,2019-01-06 00:00:00,1,,127.0,,,,,,,,,,,,,,
1193,43,RC44,2019-01-06,RECODO 1,KYKUYO,1.7,116.0,2374.0,20.46551724137931,False,2019-01-06 00:00:00,4,,116.0,,,,,,,,,,,,,,
1662,39,RC40,2019-01-06,RECODO 2,KYKUYO,1.9,136.0,2483.0,18.25735294117647,False,2019-01-06 00:00:00,1,,136.0,,,,,,,,,,,,,,
2131,34,RC35,2019-01-06,RECODO 3,KYKUYO,1.1,140.0,2762.0,19.728571428571428,False,2019-01-06 00:00:00,1,,140.0,,,,,,,,,,,,,,
256,81,Juncalito-Lote_1,2019-01-07,JUNCAL,KYKUYO,1.7,134.0,2544.0,18.98507462686567,False,2019-01-07 00:00:00,2,,134.0,,,,,,,,,,,,,,
725,114,Paraiso-Lote_13,2019-01-07,PARAISO,KYKUYO,1.9,129.0,1924.0,14.914728682170544,False,2019-01-07 00:00:00,2,,129.0,,,,,,,,,,,,,,
1194,44,RC45,2019-01-07,RECODO 1,KYKUYO,1.5,116.0,2408.0,20.758620689655174,False,2019-01-07 00:00:00,1,,116.0,,,,,,,,,,,,,,
1663,39,RC40,2019-01-07,RECODO 2,KYKUYO,1.9,136.0,2439.0,17.933823529411768,False,2019-01-07 00:00:00,2,,136.0,,,,,,,,,,,,,,
2132,34,RC35,2019-01-07,RECODO 3,KYKUYO,1.1,140.0,2814.0,20.1,False,2019-01-07 00:00:00,2,,140.0,,,,,,,,,,,,,,
257,84,Juncalito-Lote_4,2019-01-08,JUNCAL,KYKUYO,1.5,134.0,2561.0,19.111940298507463,False,2019-01-08 00:00:00,1,,134.0,,,,,,,,,,,,,,
726,116,Paraiso-Lote_15,2019-01-08,PARAISO,KYKUYO,1.5,128.0,1792.0,14.0,False,2019-01-08 00:00:00,1,,128.0,,,,,,,,,,,,,,
1195,44,RC45,2019-01-08,RECODO 1,KYKUYO,1.5,116.0,2398.0,20.67241379310345,False,2019-01-08 00:00:00,2,,116.0,,,,,,,,,,,,,,
1664,39,RC40,2019-01-08,RECODO 2,KYKUYO,1.9,136.0,2443.0,17.96323529411765,False,2019-01-08 00:00:00,3,,136.0,,,,,,,,,,,,,,
2133,29,RC30,2019-01-08,RECODO 3,RAYGRAS,1.2,140.0,2681.0,19.15,False,2019-01-08 00:00:00,1,,140.0,,,,,,,,,,,,,,
258,84,Juncalito-Lote_4,2019-01-09,JUNCAL,KYKUYO,1.5,135.0,2581.0,19.11851851851852,False,2019-01-09 00:00:00,2,,135.0,,,,,,,,,,,,,,
727,116,Paraiso-Lote_15,2019-01-09,PARAISO,KYKUYO,1.5,128.0,1812.0,14.15625,False,2019-01-09 00:00:00,2,,128.0,,,,,,,,,,,,,,
1196,44,RC45,2019-01-09,RECODO 1,KYKUYO,1.5,116.0,2339.0,20.16379310344828,False,2019-01-09 00:00:00,3,,116.0,,,,,,,,,,,,,,
1665,40,RC41,2019-01-09,RECODO 2,KYKUYO,1.9,136.0,2474.0,18.19117647058824,False,2019-01-09 00:00:00,1,,136.0,,,,,,,,,,,,,,
