N,Días,Fecha,Día kg,CCS '000,Conc.,filename,Id,Lactancia
1.0,4.0,2019-12-13,5.9,,5.0,#1145_Registros_de_Leche_Lact6.TXT,1145,Lact6
14.0,208.0,2019-12-13,13.3,,3.0,#1014_Registros_de_Leche_Lact7.TXT,1014,Lact7
24.0,354.0,2019-12-13,24.6,,7.0,#2009_Registros_de_Leche_Lact3.TXT,2009,Lact3
13.0,194.0,2019-11-29,15.9,,3.0,#1014_Registros_de_Leche_Lact7.TXT,1014,Lact7
15.0,232.0,2019-11-29,12.7,,1.0,#1032_Registros_de_Leche_Lact6.TXT,1032,Lact6
23.0,340.0,2019-11-29,25.5,,7.0,#2009_Registros_de_Leche_Lact3.TXT,2009,Lact3
24.0,369.0,2019-11-29,19.9,,5.0,#1152_Registros_de_Leche_Lact6.TXT,1152,Lact6
22.0,324.0,2019-11-13,29.2,,9.0,#2009_Registros_de_Leche_Lact3.TXT,2009,Lact3
14.0,216.0,2019-11-13,15.2,,3.0,#1032_Registros_de_Leche_Lact6.TXT,1032,Lact6
12.0,178.0,2019-11-13,12.8,,1.0,#1014_Registros_de_Leche_Lact7.TXT,1014,Lact7
23.0,353.0,2019-11-13,23.9,,5.0,#1152_Registros_de_Leche_Lact6.TXT,1152,Lact6
11.0,164.0,2019-10-30,11.6,,0.0,#1014_Registros_de_Leche_Lact7.TXT,1014,Lact7
21.0,310.0,2019-10-30,28.7,,9.0,#2009_Registros_de_Leche_Lact3.TXT,2009,Lact3
13.0,202.0,2019-10-30,17.7,,5.0,#1032_Registros_de_Leche_Lact6.TXT,1032,Lact6
22.0,339.0,2019-10-30,24.9,,7.0,#1152_Registros_de_Leche_Lact6.TXT,1152,Lact6
21.0,324.0,2019-10-15,25.0,,9.0,#1152_Registros_de_Leche_Lact6.TXT,1152,Lact6
10.0,149.0,2019-10-15,11.1,,0.0,#1014_Registros_de_Leche_Lact7.TXT,1014,Lact7
20.0,295.0,2019-10-15,25.4,,9.0,#2009_Registros_de_Leche_Lact3.TXT,2009,Lact3
12.0,187.0,2019-10-15,16.6,,5.0,#1032_Registros_de_Leche_Lact6.TXT,1032,Lact6
20.0,306.0,2019-09-27,24.9,,7.0,#1152_Registros_de_Leche_Lact6.TXT,1152,Lact6
11.0,169.0,2019-09-27,20.0,,7.0,#1032_Registros_de_Leche_Lact6.TXT,1032,Lact6
9.0,131.0,2019-09-27,8.2,,5.0,#1014_Registros_de_Leche_Lact7.TXT,1014,Lact7
19.0,277.0,2019-09-27,24.5,,7.0,#2009_Registros_de_Leche_Lact3.TXT,2009,Lact3
10.0,154.0,2019-09-12,21.0,,7.0,#1032_Registros_de_Leche_Lact6.TXT,1032,Lact6
8.0,116.0,2019-09-12,6.8,,3.0,#1014_Registros_de_Leche_Lact7.TXT,1014,Lact7
19.0,291.0,2019-09-12,24.0,,7.0,#1152_Registros_de_Leche_Lact6.TXT,1152,Lact6
18.0,262.0,2019-09-12,21.1,,7.0,#2009_Registros_de_Leche_Lact3.TXT,2009,Lact3
17.0,247.0,2019-08-28,28.3,,9.0,#2009_Registros_de_Leche_Lact3.TXT,2009,Lact3
7.0,101.0,2019-08-28,13.8,,3.0,#1014_Registros_de_Leche_Lact7.TXT,1014,Lact7
18.0,276.0,2019-08-28,24.4,,7.0,#1152_Registros_de_Leche_Lact6.TXT,1152,Lact6
9.0,139.0,2019-08-28,22.7,,7.0,#1032_Registros_de_Leche_Lact6.TXT,1032,Lact6
17.0,263.0,2019-08-15,23.6,,7.0,#1152_Registros_de_Leche_Lact6.TXT,1152,Lact6
16.0,234.0,2019-08-15,25.7,,9.0,#2009_Registros_de_Leche_Lact3.TXT,2009,Lact3
8.0,126.0,2019-08-15,26.2,,9.0,#1032_Registros_de_Leche_Lact6.TXT,1032,Lact6
6.0,88.0,2019-08-15,14.9,,3.0,#1014_Registros_de_Leche_Lact7.TXT,1014,Lact7
5.0,67.0,2019-07-25,11.9,,5.0,#1014_Registros_de_Leche_Lact7.TXT,1014,Lact7
16.0,242.0,2019-07-25,23.6,,7.0,#1152_Registros_de_Leche_Lact6.TXT,1152,Lact6
15.0,213.0,2019-07-25,25.1,,9.0,#2009_Registros_de_Leche_Lact3.TXT,2009,Lact3
7.0,105.0,2019-07-25,29.1,,9.0,#1032_Registros_de_Leche_Lact6.TXT,1032,Lact6
6.0,95.0,2019-07-15,26.5,,9.0,#1032_Registros_de_Leche_Lact6.TXT,1032,Lact6
4.0,57.0,2019-07-15,13.8,,5.0,#1014_Registros_de_Leche_Lact7.TXT,1014,Lact7
14.0,203.0,2019-07-15,25.2,,9.0,#2009_Registros_de_Leche_Lact3.TXT,2009,Lact3
15.0,232.0,2019-07-15,23.1,,7.0,#1152_Registros_de_Leche_Lact6.TXT,1152,Lact6
13.0,188.0,2019-06-30,25.8,,7.0,#2009_Registros_de_Leche_Lact3.TXT,2009,Lact3
14.0,217.0,2019-06-30,20.0,,5.0,#1152_Registros_de_Leche_Lact6.TXT,1152,Lact6
3.0,42.0,2019-06-30,15.9,,5.0,#1014_Registros_de_Leche_Lact7.TXT,1014,Lact7
5.0,80.0,2019-06-30,30.2,,9.0,#1032_Registros_de_Leche_Lact6.TXT,1032,Lact6
4.0,65.0,2019-06-15,27.7,,9.0,#1032_Registros_de_Leche_Lact6.TXT,1032,Lact6
12.0,173.0,2019-06-15,30.1,,9.0,#2009_Registros_de_Leche_Lact3.TXT,2009,Lact3
2.0,27.0,2019-06-15,20.7,,5.0,#1014_Registros_de_Leche_Lact7.TXT,1014,Lact7
13.0,202.0,2019-06-15,22.2,,7.0,#1152_Registros_de_Leche_Lact6.TXT,1152,Lact6
1.0,12.0,2019-05-31,16.9,,5.0,#1014_Registros_de_Leche_Lact7.TXT,1014,Lact7
